Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
Trevor Ariza,SF,35,MIA,30,841,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1.0,1.6,0.091,-1.5,0.2,-1.3,0.2,2021
D.J. Augustin,PG,33,TOT,57,1129,12.1,0.57,0.633,0.27399999999999997,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,1.5,0.5,2.1,0.08800000000000001,-0.5,-1.6,-2.1,0.0,2021
D.J. Augustin,PG,33,MIL,37,713,10.2,0.542,0.672,0.20800000000000002,1.7,5.5,3.7,18.6,1.3,0.1,14.0,14.3,0.8,0.4,1.2,0.08,-1.0,-1.1,-2.1,0.0,2021
D.J. Augustin,PG,33,HOU,20,416,15.5,0.604,0.583,0.358,2.2,9.4,5.6,28.3,0.9,0.0,15.1,21.0,0.8,0.1,0.9,0.10300000000000001,0.3,-2.5,-2.2,0.0,2021
Deni Avdija,SF,20,WAS,54,1257,7.6,0.515,0.5379999999999999,0.14400000000000002,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,0.0,1.2,1.2,0.046,-3.6,-0.3,-3.9,-0.6,2021
Deandre Ayton,C,22,PHO,69,2115,20.3,0.653,0.028999999999999998,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,5.3,3.1,8.4,0.191,0.9,0.0,0.9,1.6,2021
Udoka Azubuike,C,21,UTA,15,57,10.3,0.597,0.0,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.1,0.1,0.11900000000000001,-5.6,0.7,-4.9,0.0,2021
Dwayne Bacon,SG,25,ORL,72,1853,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013000000000000001,-3.5,-1.6,-5.1,-1.4,2021
Marvin Bagley III,PF,21,SAC,43,1112,16.3,0.5539999999999999,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059000000000000004,-0.6,-2.8,-3.4,-0.4,2021
LaMelo Ball,PG,19,CHO,51,1469,17.5,0.539,0.38799999999999996,0.24600000000000002,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1.0,1.9,2.8,0.09300000000000001,1.2,0.6,1.9,1.4,2021
Lonzo Ball,PG,23,NOP,55,1747,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.5,1.7,3.2,0.08900000000000001,1.4,0.2,1.6,1.6,2021
Mo Bamba,C,22,ORL,46,725,19.3,0.556,0.392,0.21899999999999997,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.11699999999999999,0.1,-0.1,0.0,0.4,2021
Desmond Bane,SG,22,MEM,68,1519,12.2,0.6,0.5429999999999999,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.09300000000000001,-0.7,-0.3,-1.0,0.4,2021
Harrison Barnes,PF,28,SAC,58,2102,15.4,0.626,0.39899999999999997,0.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,4.0,0.5,4.5,0.10300000000000001,1.4,-1.6,-0.2,1.0,2021
RJ Barrett,SG,20,NYK,72,2511,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-1.0,-0.5,-1.5,0.3,2021
Will Barton,SF,30,DEN,56,1736,11.8,0.5379999999999999,0.423,0.19899999999999998,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,0.7,1.5,2.2,0.061,-0.8,-1.2,-2.0,0.0,2021
Keita Bates-Diop,SF,25,SAS,30,245,12.0,0.518,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.1,0.3,0.3,0.068,-2.7,0.8,-2.0,0.0,2021
Nicolas Batum,SF,32,LAC,67,1835,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5.0,0.132,0.5,1.0,1.4,1.6,2021
Aron Baynes,C,34,TOR,53,980,10.5,0.503,0.33899999999999997,0.135,9.4,21.7,15.3,7.0,0.8,2.3,12.5,16.2,0.1,0.9,1.0,0.049,-3.5,-1.3,-4.7,-0.7,2021
Kent Bazemore,SF,31,GSW,67,1333,10.6,0.564,0.469,0.19899999999999998,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,0.065,-2.9,1.3,-1.7,0.1,2021
Darius Bazley,PF,20,OKC,55,1714,9.7,0.491,0.414,0.258,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026000000000000002,-3.1,-1.4,-4.4,-1.0,2021
Bradley Beal,SG,27,WAS,60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8,2021
Malik Beasley,SG,24,MIN,37,1214,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24.0,0.9,0.4,1.3,0.053,1.7,-2.3,-0.6,0.4,2021
Jordan Bell,C,26,TOT,6,82,8.0,0.32799999999999996,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,-0.1,0.1,0.0,-0.008,-5.2,-0.4,-5.6,-0.1,2021
Jordan Bell,C,26,WAS,5,67,8.5,0.35,0.1,0.0,9.5,20.5,15.0,9.5,2.1,3.7,13.0,14.2,-0.1,0.1,0.0,-0.004,-4.7,-0.8,-5.5,-0.1,2021
Jordan Bell,C,26,GSW,1,15,5.6,0.174,0.0,1.0,7.2,28.0,17.7,15.5,0.0,11.8,25.8,11.1,0.0,0.0,0.0,-0.026000000000000002,-7.2,1.5,-5.7,0.0,2021
DeAndre' Bembry,SF,26,TOR,51,972,11.2,0.57,0.23199999999999998,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059000000000000004,-3.2,1.2,-2.1,0.0,2021
Dāvis Bertāns,PF,28,WAS,57,1464,11.4,0.62,0.895,0.24100000000000002,1.3,10.8,6.1,4.4,1.0,0.7,5.9,15.9,2.1,1.0,3.1,0.10099999999999999,0.4,-1.4,-1.0,0.4,2021
Patrick Beverley,PG,32,LAC,37,832,12.0,0.58,0.6409999999999999,0.205,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,1.0,1.0,2.1,0.11900000000000001,-0.7,0.7,0.0,0.4,2021
Saddiq Bey,SF,21,DET,70,1909,12.6,0.5670000000000001,0.6659999999999999,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,0.08199999999999999,0.3,-1.1,-0.8,0.6,2021
Tyler Bey,SF,22,DAL,18,71,5.9,0.37200000000000005,0.182,0.22699999999999998,12.5,16.9,14.7,5.6,0.0,1.3,11.0,16.9,-0.1,0.0,0.0,-0.033,-5.5,-4.1,-9.6,-0.1,2021
Khem Birch,C,28,TOT,67,1529,15.1,0.552,0.13699999999999998,0.33899999999999997,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,2.3,1.4,3.8,0.11800000000000001,-1.0,-0.3,-1.3,0.3,2021
Khem Birch,C,28,ORL,48,952,14.1,0.517,0.1,0.40700000000000003,12.3,14.2,13.2,8.0,1.6,2.7,8.5,12.2,1.3,0.8,2.1,0.106,-1.6,-0.6,-2.2,0.0,2021
Khem Birch,C,28,TOR,19,577,16.8,0.596,0.18100000000000002,0.257,10.5,17.2,13.7,9.4,1.3,3.8,9.9,15.8,1.1,0.6,1.7,0.138,0.0,0.1,0.1,0.3,2021
Goga Bitadze,C,21,IND,45,561,16.3,0.523,0.40700000000000003,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,0.7,0.8,1.5,0.129,-1.9,0.8,-1.2,0.1,2021
Bismack Biyombo,C,28,CHO,66,1349,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,0.081,-3.2,-0.1,-3.3,-0.5,2021
Nemanja Bjelica,PF,32,TOT,37,595,12.9,0.5539999999999999,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,0.5,0.3,0.9,0.071,-1.4,-1.1,-2.5,-0.1,2021
Nemanja Bjelica,PF,32,SAC,26,439,12.7,0.555,0.387,0.28,6.0,19.5,12.6,15.3,0.9,0.4,14.3,19.3,0.3,0.1,0.5,0.052000000000000005,-1.3,-1.7,-3.0,-0.1,2021
Nemanja Bjelica,PF,32,MIA,11,156,13.3,0.55,0.5870000000000001,0.196,3.7,15.8,9.9,18.7,2.2,2.0,9.1,15.9,0.2,0.2,0.4,0.122,-1.9,0.7,-1.2,0.0,2021
Eric Bledsoe,SG,31,NOP,71,2111,11.5,0.5329999999999999,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,1.1,1.3,2.3,0.053,-1.1,-1.3,-2.3,-0.2,2021
Keljin Blevins,SF,25,POR,17,75,-0.9,0.3,0.4,0.0,4.2,10.3,7.1,6.7,1.3,0.0,20.0,14.3,-0.2,0.0,-0.2,-0.13699999999999998,-9.0,-3.0,-12.0,-0.2,2021
Bogdan Bogdanović,SG,28,ATL,44,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.4,0.4,3.8,1.9,2021
Bojan Bogdanović,SF,31,UTA,72,2216,14.0,0.588,0.498,0.28600000000000003,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.1,-0.9,-0.8,0.7,2021
Bol Bol,PF,21,DEN,32,160,9.4,0.534,0.414,0.259,0.0,16.9,8.5,6.0,0.9,6.1,16.8,21.2,-0.2,0.2,0.0,-0.004,-3.6,-0.7,-4.4,-0.1,2021
Marques Bolden,C,22,CLE,6,29,13.3,0.537,0.0,2.667,11.3,11.9,11.6,0.0,3.4,6.1,23.5,12.8,0.0,0.0,0.0,0.063,-3.4,0.6,-2.8,0.0,2021
Jordan Bone,PG,23,ORL,14,196,8.9,0.519,0.593,0.0,2.0,11.0,6.4,13.6,0.5,0.0,5.3,12.6,0.1,0.1,0.2,0.045,-2.6,-1.6,-4.2,-0.1,2021
Isaac Bonga,SF,21,WAS,40,432,4.0,0.461,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,-0.4,0.4,0.0,-0.001,-5.6,-0.8,-6.4,-0.5,2021
Devin Booker,SG,24,PHO,67,2270,19.2,0.5870000000000001,0.28800000000000003,0.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,2.9,2.0,4.9,0.10400000000000001,1.4,-1.5,-0.1,1.1,2021
Chris Boucher,C,28,TOR,60,1453,21.9,0.634,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4.0,2.1,6.1,0.201,2.8,0.1,2.9,1.8,2021
Brian Bowen,SF,22,IND,6,15,1.0,0.33799999999999997,0.25,0.25,0.0,21.6,10.8,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,-0.063,-8.2,-3.3,-11.5,0.0,2021
Avery Bradley,SG,30,TOT,27,602,6.3,0.48700000000000004,0.591,0.08800000000000001,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,-0.5,0.4,-0.1,-0.008,-4.9,-0.8,-5.7,-0.6,2021
Avery Bradley,SG,30,MIA,10,211,10.4,0.607,0.5760000000000001,0.136,1.1,8.5,4.9,10.0,1.6,0.5,11.4,16.9,0.1,0.2,0.3,0.07200000000000001,-2.7,-0.6,-3.2,-0.1,2021
Avery Bradley,SG,30,HOU,17,391,4.0,0.409,0.6,0.057,1.6,9.4,5.3,11.2,1.7,0.5,15.0,13.8,-0.6,0.2,-0.4,-0.052000000000000005,-6.1,-0.9,-7.0,-0.5,2021
Tony Bradley,C,23,TOT,42,684,20.7,0.6779999999999999,0.015,0.27899999999999997,13.3,24.0,18.6,8.5,1.0,3.9,13.0,15.8,1.8,1.0,2.7,0.192,1.1,0.1,1.2,0.6,2021
Tony Bradley,C,23,PHI,20,287,21.1,0.6829999999999999,0.013000000000000001,0.147,15.2,24.5,19.9,8.7,1.0,4.1,7.0,12.9,1.0,0.5,1.5,0.245,2.1,1.0,3.1,0.4,2021
Tony Bradley,C,23,OKC,22,397,20.4,0.6759999999999999,0.016,0.361,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,0.8,0.5,1.3,0.154,0.4,-0.5,-0.1,0.2,2021
Jarrell Brantley,PF,24,UTA,28,138,16.6,0.605,0.5379999999999999,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19.0,0.3,0.2,0.5,0.172,0.5,1.6,2.1,0.1,2021
Ignas Brazdeikis,SF,22,TOT,13,249,9.5,0.51,0.337,0.16899999999999998,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2,2021
Ignas Brazdeikis,SF,22,NYK,4,7,11.2,0.532,0.0,2.0,15.7,15.3,15.5,17.5,0.0,0.0,34.7,18.3,0.0,0.0,0.0,0.039,-2.9,-1.9,-4.8,0.0,2021
Ignas Brazdeikis,SF,22,PHI,1,8,-12.0,0.0,0.33299999999999996,0.0,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,0.0,-0.1,-0.33,-18.9,-4.2,-23.2,0.0,2021
Ignas Brazdeikis,SF,22,ORL,8,234,10.2,0.528,0.342,0.152,4.3,14.2,9.1,10.6,0.8,1.2,11.5,17.6,0.0,0.1,0.1,0.027000000000000003,-3.4,-1.7,-5.1,-0.2,2021
Mikal Bridges,SF,24,PHO,72,2348,16.4,0.667,0.47100000000000003,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,0.16399999999999998,2.2,0.8,3.0,3.0,2021
Miles Bridges,PF,22,CHO,66,1932,14.7,0.625,0.466,0.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.105,0.2,0.0,0.2,1.0,2021
Amida Brimah,C,26,IND,5,29,16.6,0.6970000000000001,0.0,0.375,7.5,22.3,15.0,4.8,0.0,14.0,30.0,19.6,0.0,0.1,0.0,0.073,-5.5,1.5,-4.0,0.0,2021
Oshae Brissett,SF,22,IND,21,519,17.2,0.638,0.517,0.43,6.1,17.9,12.0,4.6,1.7,3.1,5.3,15.6,1.2,0.6,1.8,0.165,0.9,-0.6,0.4,0.3,2021
Malcolm Brogdon,PG,28,IND,56,1930,17.9,0.561,0.382,0.18100000000000002,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,2.9,1.3,4.2,0.105,2.9,-1.4,1.5,1.7,2021
Armoni Brooks,SG,22,HOU,20,520,10.4,0.565,0.818,0.063,2.0,12.4,7.0,8.7,1.1,0.9,10.0,17.9,0.1,0.2,0.3,0.03,-1.3,-2.0,-3.3,-0.2,2021
Dillon Brooks,SF,25,MEM,67,1997,12.1,0.515,0.361,0.18899999999999997,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.3,-3.9,-1.0,2021
Bruce Brown,PG,24,BRK,65,1451,16.1,0.604,0.139,0.27699999999999997,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,0.14400000000000002,-0.4,0.1,-0.3,0.6,2021
Charlie Brown,SG,23,OKC,9,152,4.1,0.42200000000000004,0.488,0.233,2.0,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-0.1,-0.032,-7.8,-1.2,-8.9,-0.3,2021
Jaylen Brown,SG,24,BOS,58,1999,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2.0,4.8,0.115,3.5,-1.0,2.5,2.3,2021
Moses Brown,C,21,OKC,43,920,18.8,0.5720000000000001,0.0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,0.138,-1.2,-1.4,-2.6,-0.1,2021
Sterling Brown,SG,25,HOU,51,1229,11.1,0.597,0.642,0.09300000000000001,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1.0,0.8,1.8,0.071,-1.7,0.0,-1.7,0.1,2021
Troy Brown Jr.,SF,21,TOT,34,524,8.5,0.525,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1.0,12.1,14.0,0.0,0.5,0.5,0.043,-3.3,-1.0,-4.3,-0.3,2021
Troy Brown Jr.,SF,21,WAS,21,287,6.3,0.47100000000000003,0.517,0.16899999999999998,4.1,18.4,11.3,8.5,0.5,1.2,14.3,16.1,-0.3,0.2,-0.1,-0.009000000000000001,-3.7,-2.0,-5.7,-0.3,2021
Troy Brown Jr.,SF,21,CHI,13,237,11.2,0.616,0.436,0.109,4.3,16.2,10.3,5.6,1.4,0.7,8.0,11.5,0.3,0.2,0.5,0.107,-2.7,0.2,-2.5,0.0,2021
Jalen Brunson,PG,24,DAL,68,1697,17.1,0.618,0.319,0.24100000000000002,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,3.9,1.1,5.1,0.14300000000000002,1.4,-0.9,0.5,1.1,2021
Elijah Bryant,SG,25,MIL,1,32,10.6,0.5589999999999999,0.385,0.231,6.8,12.7,9.9,12.6,0.0,2.8,21.8,24.0,0.0,0.0,0.0,0.008,-4.1,-3.6,-7.7,0.0,2021
Thomas Bryant,C,23,WAS,10,271,18.7,0.7040000000000001,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,0.7,0.2,1.0,0.171,2.1,-1.7,0.4,0.2,2021
Reggie Bullock,SF,29,NYK,65,1949,11.1,0.606,0.7090000000000001,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.8,0.6,-0.1,0.9,2021
Trey Burke,PG,28,DAL,62,911,12.6,0.544,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8.0,20.0,0.7,0.7,1.4,0.071,-1.3,-0.7,-2.0,0.0,2021
Alec Burks,SG,29,NYK,49,1255,14.8,0.564,0.49200000000000005,0.23600000000000002,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.6,0.3,0.9,0.9,2021
Jimmy Butler,SF,31,MIA,52,1745,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,6.6,2.7,9.3,0.255,5.1,2.5,7.5,4.2,2021
Bruno Caboclo,PF,25,HOU,6,36,9.0,0.475,0.294,0.11800000000000001,8.5,34.0,20.7,4.7,0.0,5.0,18.3,25.8,-0.1,0.0,-0.1,-0.08800000000000001,-8.5,-2.1,-10.6,-0.1,2021
Devontae Cacok,PF,24,LAL,20,98,17.2,0.5760000000000001,0.0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,0.1,0.2,0.3,0.142,-1.3,0.6,-0.7,0.0,2021
Kentavious Caldwell-Pope,SG,27,LAL,67,1902,10.7,0.588,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,1.6,2.6,4.2,0.107,-1.5,0.6,-0.9,0.6,2021
Facundo Campazzo,PG,29,DEN,65,1425,11.6,0.5579999999999999,0.6859999999999999,0.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,1.6,1.5,3.1,0.105,-1.7,1.0,-0.8,0.5,2021
Vlatko Čančar,PF,23,DEN,41,281,9.7,0.547,0.45799999999999996,0.18100000000000002,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,0.0,0.3,0.3,0.053,-2.6,-0.1,-2.7,0.0,2021
Devin Cannady,PG,24,ORL,8,74,11.2,0.547,0.5710000000000001,0.25,0.0,7.3,3.5,2.1,3.3,1.2,6.0,19.3,0.0,0.1,0.1,0.057,-4.4,1.3,-3.1,0.0,2021
Clint Capela,C,26,ATL,63,1898,24.3,0.601,0.0,0.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,0.207,2.7,-0.2,2.5,2.1,2021
Vernon Carey Jr.,C,19,CHO,19,115,11.7,0.563,0.19399999999999998,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0.0,0.1,0.2,0.066,-4.4,-1.8,-6.2,-0.1,2021
Jevon Carter,PG,25,PHO,60,717,12.2,0.5479999999999999,0.677,0.031,2.6,11.8,7.3,13.0,2.0,1.1,6.6,15.0,0.7,0.8,1.6,0.10400000000000001,-0.6,1.1,0.5,0.5,2021
Wendell Carter Jr.,C,21,TOT,54,1375,16.7,0.5660000000000001,0.11199999999999999,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,0.11800000000000001,-1.0,-0.5,-1.5,0.1,2021
Wendell Carter Jr.,C,21,CHI,32,792,16.3,0.578,0.087,0.44,9.9,24.9,17.5,12.3,1.1,2.6,14.0,19.1,1.1,1.0,2.1,0.13,-1.3,-0.1,-1.4,0.1,2021
Wendell Carter Jr.,C,21,ORL,22,583,17.3,0.5489999999999999,0.141,0.332,10.7,24.1,17.2,9.7,1.4,2.8,11.0,19.5,0.6,0.7,1.2,0.10300000000000001,-0.7,-1.1,-1.8,0.0,2021
Michael Carter-Williams,SG,29,ORL,31,800,9.5,0.449,0.226,0.29600000000000004,4.9,13.4,9.0,24.3,1.5,1.9,18.4,20.2,-1.1,0.6,-0.5,-0.027999999999999997,-4.5,-0.1,-4.6,-0.5,2021
Alex Caruso,PG,26,LAL,58,1216,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,0.3,2.1,2.4,0.095,-2.5,2.3,-0.2,0.6,2021
